0.9 [(0.10217000000000001, 0.00189), (0.12428999999999998, 0.023846150632754127), (0.13079000000000002, 0.03432021124643612), (0.16536, 0.03942994293680882), (0.17113000000000003, 0.05965066722175034), (0.17172, 0.05111799683086183), (0.20129999999999998, 0.04633363788868731), (0.38441000000000003, 0.06838955256470099), (0.68808, 0.08967450919854539), (0.84458, 0.05931793657908202)]
0.8 [(0.13812, 0.030087532301602934), (0.14133999999999997, 0.04308208908583705), (0.1512, 0.03468140712254911), (0.16574, 0.07212824966682609), (0.18727, 0.052966424270475335), (0.21692999999999998, 0.09096194863787824), (0.24014000000000002, 0.07475347751108306), (0.64029, 0.05338472534349128), (0.9094399999999998, 0.04486221572771455), (0.9814999999999999, 0.0027838821814150138)]
0.7 [(0.13295, 0.04134784758605942), (0.19465000000000002, 0.05136106015260978), (0.20401000000000002, 0.06141155347326755), (0.20442, 0.06186063045265542), (0.27923, 0.0398624397145985), (0.29625, 0.12949161555869168), (0.33558, 0.08402237559126736), (0.7819799999999999, 0.06227556182002695), (0.97692, 0.00525771813622602), (0.9864200000000001, 0.002556873090319506)]
0.6 [(0.15468, 0.03784959180757436), (0.21234999999999998, 0.06230904027506763), (0.21654, 0.05504186043367356), (0.2459, 0.055917814692636195), (0.30561999999999995, 0.05407753322776475), (0.38824, 0.15574704619991994), (0.49662000000000006, 0.0772344586308469), (0.83294, 0.05354293977734133), (0.9833500000000001, 0.00337616646509024), (0.9881800000000001, 0.0004331281565541517)]
0.5 [(0.17914000000000002, 0.04159937980306918), (0.20229999999999998, 0.07044184835735075), (0.21325, 0.055959382591304556), (0.25753, 0.023995960076646238), (0.33696000000000004, 0.14862645255808266), (0.38493000000000005, 0.0842787167676395), (0.5137, 0.12426643955630176), (0.8883800000000001, 0.02713653625649375), (0.98589, 0.002120589540670227), (0.98864, 0.000721387551874862)]
0.4 [(0.19707999999999998, 0.0523964655296519), (0.23062, 0.05628075692454749), (0.24165999999999999, 0.1034500961816856), (0.32446, 0.06959391065315988), (0.4449199999999999, 0.1359579699760187), (0.45343999999999995, 0.12746955871893492), (0.6006199999999999, 0.05682025695119654), (0.93299, 0.01420939477951119), (0.9881399999999999, 0.0007172168430816315), (0.9894300000000001, 0.0006372597586542058)]
0.3 [(0.27227999999999997, 0.08648274741241747), (0.29079, 0.0707180521507769), (0.38227, 0.08843123938970888), (0.38794, 0.08588088495119273), (0.54711, 0.13694914713133485), (0.5641, 0.1576235705724242), (0.71738, 0.07463799032664263), (0.9530700000000001, 0.00914188711372), (0.9891399999999999, 0.0008627861844049066), (0.9900800000000001, 0.00040447496832313906)]
0.2 [(0.25785, 0.0961267418567799), (0.45135, 0.08761107521312587), (0.48319999999999996, 5.551115123125783e-17), (0.50539, 0.06821902154091627), (0.62155, 0.1389879005525301), (0.6317, 0.09806689553564954), (0.7703599999999999, 0.06502462918002685), (0.96424, 0.0036835309147609926), (0.98971, 0.00042766809560686257), (0.9898999999999999, 0.0005440588203494108)]
0.1 [(0.48319999999999996, 5.551115123125783e-17), (0.489, 0.0), (0.51298, 0.08532552724712576), (0.6136, 0.0), (0.7173800000000001, 0.11581173342973503), (0.7617700000000001, 0.10989186548603132), (0.85368, 0.047574652915181655), (0.9712999999999999, 0.0017041126723312745), (0.99003, 0.00033181320046073945), (0.9903000000000001, 0.0003065941943351239)]
0 [(0.48319999999999996, 5.551115123125783e-17), (0.489, 0.0), (0.6136, 0.0), (0.6462000000000001, 1.1102230246251565e-16), (0.8464, 0.0), (0.8684, 0.0), (0.9113000000000001, 1.1102230246251565e-16), (0.9755, 0.0), (0.9902, 0.0), (0.9906, 0.0)]

0.9 [(0.10091000000000001, 0.0028870226878221794), (0.12751, 0.03110490154300444), (0.13473000000000002, 0.0332223734853487), (0.15164999999999998, 0.03900849266505949), (0.17273999999999998, 0.04985517425503595), (0.17553000000000002, 0.060411522907471885), (0.18661999999999998, 0.04305551764872883), (0.41457, 0.10056817637801732), (0.69536, 0.04757554413771848), (0.91136, 0.036005227398254264)]
0.8 [(0.12343, 0.03738109281441623), (0.13631999999999997, 0.0351984601935937), (0.15564, 0.057947307098777254), (0.16454999999999997, 0.034833209728648326), (0.18942, 0.06806562715497448), (0.21726, 0.0510627300484414), (0.28718, 0.10022626202747462), (0.58596, 0.05777181319640228), (0.92698, 0.0283756515343701), (0.9772500000000001, 0.005454401892050134)]
0.7 [(0.15472999999999998, 0.043381471851471336), (0.15528000000000003, 0.035457405432433996), (0.19558, 0.05841886339188738), (0.22027000000000002, 0.08006632313276288), (0.24992999999999999, 0.05329275841988291), (0.25969000000000003, 0.08475968912165735), (0.31141, 0.13176197820312202), (0.75829, 0.06130212802179057), (0.9689799999999998, 0.01464778481545929), (0.98506, 0.0037291285845355493)]
0.6 [(0.13311, 0.03652589355512059), (0.13623000000000002, 0.03935406078157628), (0.18056999999999998, 0.05135961545806199), (0.23975999999999997, 0.05079579116422934), (0.30857, 0.08004659955301037), (0.31551999999999997, 0.11994887077417611), (0.38737000000000005, 0.0767535934012213), (0.8518399999999999, 0.055811633195956556), (0.9823699999999999, 0.002342242515197779), (0.9882899999999999, 0.0006441273166075119)]
0.5 [(0.1326, 0.04850070102586148), (0.18113, 0.060065798088429656), (0.23870999999999998, 0.08515809356720005), (0.24295, 0.05104747300307823), (0.33707, 0.06649385009156861), (0.33923, 0.10566627702346666), (0.52299, 0.11847284456785866), (0.88666, 0.02874182318503821), (0.9867100000000001, 0.0014376717288727564), (0.9889900000000003, 0.00043920382511995743)]
0.4 [(0.18617, 0.05587802877697101), (0.28476, 0.08674439693720858), (0.29462999999999995, 0.07791508262204436), (0.31860000000000005, 0.06361811062897106), (0.44543999999999995, 0.11746709496705875), (0.46574, 0.1222188381551715), (0.63727, 0.09415710329019261), (0.9247400000000001, 0.012871223718046403), (0.98865, 0.0009604686356149487), (0.9894099999999998, 0.00042532340636273417)]
0.3 [(0.1537, 0.07244335718338846), (0.31510999999999995, 0.06442604209479269), (0.37767000000000006, 0.05586764806218354), (0.38936, 0.08611701574021245), (0.53746, 0.1542521520109201), (0.62668, 0.0751449505954991), (0.66362, 0.17257379175297738), (0.9527300000000001, 0.007569154510247503), (0.98902, 0.0007236021006050123), (0.9898, 0.00028982753492377215)]
0.2 [(0.29079000000000005, 0.06741995921090431), (0.39149999999999996, 0.08773594474330348), (0.48141, 0.0664775819355668), (0.48319999999999996, 5.551115123125783e-17), (0.66245, 0.15127428895883133), (0.6769299999999999, 0.14055279470718468), (0.7984, 0.06296429146746589), (0.96204, 0.006132242656646924), (0.9894400000000001, 0.00039038442591886633), (0.98994, 0.00028000000000001277)]
0.1 [(0.48319999999999996, 5.551115123125783e-17), (0.489, 0.0), (0.50459, 0.0906409559746586), (0.6136, 0.0), (0.7785399999999999, 0.1063643944184331), (0.82149, 0.011261478588533571), (0.8524899999999999, 0.025596697052549574), (0.9704599999999999, 0.0027048844707307017), (0.9899700000000001, 0.00042201895692018553), (0.99049, 0.00029816103031752553)]
0 [(0.48319999999999996, 5.551115123125783e-17), (0.489, 0.0), (0.6136, 0.0), (0.6462000000000001, 1.1102230246251565e-16), (0.8464, 0.0), (0.8684, 0.0), (0.9113000000000001, 1.1102230246251565e-16), (0.9755, 0.0), (0.9902, 0.0), (0.9906, 0.0)]
